pmt_id,pmt_x,pmt_y,pmt_z
273,-4531.409,2515.1372,18487.305
274,-4762.6123,2043.7979,18487.305
275,-4944.9443,1551.4863,18487.305
276,-5076.5347,1043.2544,18487.305
277,-5156.0327,524.3173,18487.305
278,-5182.623,6.346883e-13,18487.305
279,-5156.0327,-524.3173,18487.305
280,-5076.5347,-1043.2544,18487.305
281,-4944.9443,-1551.4863,18487.305
282,-4762.6123,-2043.7979,18487.305
283,-4531.409,-2515.1372,18487.305
284,-4253.7075,-2960.668,18487.305
285,-3932.3574,-3375.818,18487.305
286,-3570.656,-3756.328,18487.305
287,-3172.3147,-4098.2925,18487.305
288,-2741.4211,-4398.2036,18487.305
289,-2282.397,-4652.983,18487.305
290,-1799.9523,-4860.016,18487.305
291,-1299.0376,-5017.179,18487.305
292,-784.7931,-5122.859,18487.305
293,-262.49557,-5175.971,18487.305
294,262.49557,-5175.971,18487.305
295,784.7931,-5122.859,18487.305
296,1299.0376,-5017.179,18487.305
297,1799.9523,-4860.016,18487.305
298,2282.397,-4652.983,18487.305
299,2741.4211,-4398.2036,18487.305
300,3172.3147,-4098.2925,18487.305
301,3570.656,-3756.328,18487.305
302,3932.3574,-3375.818,18487.305
303,4253.7075,-2960.668,18487.305
304,4531.409,-2515.1372,18487.305
305,4762.6123,-2043.7979,18487.305
306,4944.9443,-1551.4863,18487.305
307,5076.5347,-1043.2544,18487.305
308,5156.0327,-524.3173,18487.305
309,5605.3716,284.27228,18361.346
310,5547.853,849.8998,18361.346
311,5433.406,1406.8063,18361.346
312,5263.2046,1949.2769,18361.346
313,5038.9956,2471.7454,18361.346
314,4763.0796,2968.8503,18361.346
315,4438.2886,3435.491,18361.346
316,4067.954,3866.8787,18361.346
317,3655.8772,4258.587,18361.346
318,3206.286,4606.5967,18361.346
319,2723.794,4907.3364,18361.346
320,2213.352,5157.7197,18361.346
321,1680.1981,5355.178,18361.346
322,1129.8031,5497.6855,18361.346
323,567.8148,5583.779,18361.346
324,3.436711e-13,5612.575,18361.346
325,-567.8148,5583.779,18361.346
326,-1129.8031,5497.6855,18361.346
327,-1680.1981,5355.178,18361.346
328,-2213.352,5157.7197,18361.346
329,-2723.794,4907.3364,18361.346
330,-3206.286,4606.5967,18361.346
331,-3655.8772,4258.587,18361.346
332,-4067.954,3866.8787,18361.346
333,-4438.2886,3435.491,18361.346
334,-4763.0796,2968.8503,18361.346
335,-5038.9956,2471.7454,18361.346
336,-5263.2046,1949.2769,18361.346
337,-5433.406,1406.8063,18361.346
338,-5547.853,849.8998,18361.346
339,-5605.3716,284.27228,18361.346
340,-5605.3716,-284.27228,18361.346
341,-5547.853,-849.8998,18361.346
342,-5433.406,-1406.8063,18361.346
343,-5263.2046,-1949.2769,18361.346
344,-5038.9956,-2471.7454,18361.346
345,-4763.0796,-2968.8503,18361.346
346,-4438.2886,-3435.491,18361.346
347,-4067.954,-3866.8787,18361.346
348,-3655.8772,-4258.587,18361.346
349,-3206.286,-4606.5967,18361.346
350,-2723.794,-4907.3364,18361.346
351,-2213.352,-5157.7197,18361.346
352,-1680.1981,-5355.178,18361.346
353,-1129.8031,-5497.6855,18361.346
354,-567.8148,-5583.779,18361.346
355,-1.0310134e-12,-5612.575,18361.346
356,567.8148,-5583.779,18361.346
357,1129.8031,-5497.6855,18361.346
358,1680.1981,-5355.178,18361.346
359,2213.352,-5157.7197,18361.346
360,2723.794,-4907.3364,18361.346
361,3206.286,-4606.5967,18361.346
362,3655.8772,-4258.587,18361.346
363,4067.954,-3866.8787,18361.346
364,4438.2886,-3435.491,18361.346
365,4763.0796,-2968.8503,18361.346
366,5038.9956,-2471.7454,18361.346
367,5263.2046,-1949.2769,18361.346
368,5433.406,-1406.8063,18361.346
369,5547.853,-849.8998,18361.346
370,5605.3716,-284.27228,18361.346
371,6112.266,0.0,18201.104
372,6089.6396,525.43976,18201.104
373,6021.9277,1046.9893,18201.104
374,5909.6313,1560.7874,18201.104
375,5753.582,2063.0298,18201.104
376,5554.9355,2549.9983,18201.104
377,5315.162,3018.0876,18201.104
378,5036.0366,3463.832,18201.104
379,4719.6265,3883.9314,18201.104
380,4368.274,4275.2754,18201.104
381,3984.5803,4634.967,18201.104
382,3571.386,4960.343,18201.104
383,3131.7505,5248.994,18201.104
384,2668.9287,5498.783,18201.104
385,2186.347,5707.862,18201.104
386,1687.5782,5874.681,18201.104
387,1176.3153,5998.0063,18201.104
388,656.3434,6076.925,18201.104
389,131.51212,6110.851,18201.104
390,-394.29282,6099.535,18201.104
391,-917.1785,6043.0605,18201.104
392,-1433.2738,5941.845,18201.104
393,-1938.7576,5796.6387,18201.104
394,-2429.8875,5608.5156,18201.104
395,-2903.0273,5378.869,18201.104
396,-3354.6743,5109.399,18201.104
397,-3781.4844,4802.101,18201.104
398,-4180.2974,4459.25,18201.104
