pmt_id,pmt_x,pmt_y,pmt_z
300224,3268.0496,1249.9231,18878.494
300225,3051.233,1712.4349,18878.494
300227,2428.5115,2518.8862,18878.494
300228,2035.879,2845.6375,18878.494
300229,1599.8552,3111.7388,18878.494
300231,635.5332,3440.72,18878.494
300232,127.78771,3496.588,18878.494
300233,-382.68134,3477.932,18878.494
300235,-1368.445,3220.2195,18878.494
300236,-1822.7296,2986.6558,18878.494
300237,-2238.166,2689.4365,18878.494
300238,-2605.9,2334.8965,18878.494
300240,-3168.0928,1485.1409,18878.494
300241,-3350.5698,1008.0363,18878.494
300242,-3461.6353,509.44714,18878.494
300244,-3461.6353,-509.44714,18878.494
300245,-3350.5698,-1008.0363,18878.494
300246,-3168.0928,-1485.1409,18878.494
300248,-2605.9,-2334.8965,18878.494
300249,-2238.166,-2689.4365,18878.494
300250,-1822.7296,-2986.6558,18878.494
300251,-1368.445,-3220.2195,18878.494
300253,-382.68134,-3477.932,18878.494
300254,127.78771,-3496.588,18878.494
300255,635.5332,-3440.72,18878.494
300257,1599.8552,-3111.7388,18878.494
300258,2035.879,-2845.6375,18878.494
300259,2428.5115,-2518.8862,18878.494
300261,3051.233,-1712.4349,18878.494
300262,3268.0496,-1249.9231,18878.494
300263,3415.2134,-760.77124,18878.494
300264,3489.588,-255.40492,18878.494
300357,4310.186,276.72314,18707.904
300359,4099.029,1360.9714,18707.904
300362,3288.731,2799.7375,18707.904
300364,2471.0063,3542.3733,18707.904
300367,961.0813,4210.7725,18707.904
300369,-138.4327,4316.8413,18707.904
300372,-1748.2837,3949.4033,18707.904
300374,-2692.8901,3376.7773,18707.904
300375,-3102.5942,3004.6948,18707.904
300377,-3763.278,2119.4387,18707.904
300380,-4283.6006,552.30914,18707.904
300382,-4283.6006,-552.30914,18707.904
300385,-3763.278,-2119.4387,18707.904
300387,-3102.5942,-3004.6948,18707.904
300388,-2692.8901,-3376.7773,18707.904
300390,-1748.2837,-3949.4033,18707.904
300393,-138.4327,-4316.8413,18707.904
300395,961.0813,-4210.7725,18707.904
300398,2471.0063,-3542.3733,18707.904
300400,3288.731,-2799.7375,18707.904
300403,4099.029,-1360.9714,18707.904
300405,4310.186,-276.72314,18707.904
300406,4507.3657,257.74048,18661.65
300408,4331.8506,1271.946,18661.65
300410,3931.1821,2220.0408,18661.65
300412,3326.1863,3052.746,18661.65
300414,2548.3079,3726.7815,18661.65
300416,1637.9783,4207.1133,18661.65
300417,1147.7268,4366.406,18661.65
300419,128.92282,4512.887,18661.65
300421,-896.58203,4424.8066,18661.65
300423,-1875.4861,4106.7417,18661.65
300425,-2756.9094,3575.2236,18661.65
300427,-3495.0393,2857.8794,18661.65
300428,-3798.0312,2440.8464,18661.65
300430,-4252.172,1517.1718,18661.65
300432,-4485.3003,514.64026,18661.65
300434,-4485.3003,-514.64026,18661.65
300436,-4252.172,-1517.1718,18661.65
300438,-3798.0312,-2440.8464,18661.65
300439,-3495.0393,-2857.8794,18661.65
300441,-2756.9094,-3575.2236,18661.65
300443,-1875.4861,-4106.7417,18661.65
300445,-896.58203,-4424.8066,18661.65
300447,128.92282,-4512.887,18661.65
300449,1147.7268,-4366.406,18661.65
300450,1637.9783,-4207.1133,18661.65
300452,2548.3079,-3726.7815,18661.65
300454,3326.1863,-3052.746,18661.65
300456,3931.1821,-2220.0408,18661.65
300458,4331.8506,-1271.946,18661.65
300460,4507.3657,-257.74048,18661.65
300461,4831.8384,276.29453,18580.016
300463,4643.6885,1363.51,18580.016
300465,4214.1772,2379.8555,18580.016
300467,3565.6294,3272.5051,18580.016
300469,2731.7537,3995.0625,18580.016
300471,1755.892,4509.9717,18580.016
300472,1230.3485,4680.7314,18580.016
300474,138.20363,4837.758,18580.016
300476,-961.1246,4743.3364,18580.016
300478,-2010.4972,4402.375,18580.016
300480,-2955.3718,3832.5945,18580.016
300482,-3746.6377,3063.6104,18580.016
300483,-4071.4414,2616.5564,18580.016
300485,-4558.274,1626.3889,18580.016
300487,-4808.185,551.68787,18580.016
300489,-4808.185,-551.68787,18580.016
300491,-4558.274,-1626.3889,18580.016
300493,-4071.4414,-2616.5564,18580.016
300494,-3746.6377,-3063.6104,18580.016
300496,-2955.3718,-3832.5945,18580.016
300498,-2010.4972,-4402.375,18580.016
300500,-961.1246,-4743.3364,18580.016
300502,138.20363,-4837.758,18580.016
300504,1230.3485,-4680.7314,18580.016
300505,1755.892,-4509.9717,18580.016
300507,2731.7537,-3995.0625,18580.016
300509,3565.6294,-3272.5051,18580.016
300511,4214.1772,-2379.8555,18580.016
300513,4643.6885,-1363.51,18580.016
