E,R,evtID,x,y,z
4.1781535000000005,13364.473999999998,155,8897.22,3086.7466,9482.648000000001
7.073538,17080.139,156,-4512.8457,15134.321000000002,-6505.204000000001
3.8358065999999997,8968.696,157,3535.0654,6379.7524,5219.156
0.9360718000000001,16652.193,158,-4167.027,15839.636999999999,-3006.2148
5.809056299999999,16918.785,160,380.37683,-16854.766,-1420.3796
4.358482,12176.7705,161,8988.096,-2399.4275,-7856.8843
1.6951596000000002,14897.708999999999,162,9386.933,8439.452,7912.1987
2.6571035,13753.115,163,10140.337,-8290.023000000001,4194.907
9.959808,7890.6763,164,-577.4829,-6466.448,4484.9004
6.219296,9919.471,168,-9488.903,-2889.7903,75.67543
9.026207000000001,16014.461000000001,169,-7025.07,1487.7515,14314.257
3.3255157,12575.952,170,4182.6216,-11731.513,-1741.2242
8.548803,9582.0205,171,7777.0986,-5484.161,1120.6364
0.6397068,13234.796999999999,174,10062.451,-8595.567,-152.1095
6.900325,12505.201000000001,175,-9603.764000000001,3030.574,7413.731
3.785712,12404.688,177,8330.074,492.8021,9178.415
6.5653224,15698.015,178,-3474.2595,-9426.938,12061.923999999999
8.667551,15936.695,180,-631.18884,-15850.591999999999,-1529.2439
1.8032477999999998,11960.063,182,-7285.4805,-6321.1597,-7071.621999999999
10.079825,16324.653,185,-10717.446000000002,-2948.7417,11955.566
8.927431,11760.466999999999,186,-8961.29,-7549.7983,1002.19836
4.7920055,7184.271,187,5757.016,-3372.2998,2664.228
9.523795,13577.389,188,-4179.6320000000005,-11407.698999999999,-6061.3994
6.874114,15833.838,189,-10192.001,4552.3916,11229.839
10.121768,10809.322,190,8609.54,6424.9995,1198.6007
9.780832,14596.983,192,4742.522,-5614.7915,-12611.681999999999
9.31449,17401.777,193,3558.9507,15626.133999999998,6780.831999999999
5.4641376,10419.859,194,-2340.187,-6797.803000000001,7542.338000000001
2.4577277000000004,12550.758,195,-7856.6353,6616.828,-7211.9619999999995
5.126506,16000.395,197,-2146.1868,-10507.506000000001,-11874.293
8.376792,9884.435,198,1819.4695,-8746.327,4230.052
3.4084854,15936.296,200,7368.9014,-13163.577,5136.6377
1.4611344,16326.002,201,-194.46223,15837.117,3960.5845
7.942201600000001,17529.723,204,8201.806999999999,9745.952,12043.17
6.557001,16886.375,205,-16568.768,-2495.8188,2096.779
2.227391,7436.98,206,-446.0634,2162.3452,7101.6875
4.0718510000000006,17292.332,209,15747.117,7077.02,984.2999
4.379367,17148.88,211,-12899.851999999999,6282.399,-9391.985999999999
5.899058999999999,17374.785,213,-10234.399,12281.481000000002,-6804.8115
7.266939,14146.698,215,2543.049,-8684.862,-10873.598
1.8519240000000001,12154.063,216,-6155.6255,-10357.899,-1594.8207
1.1445886,16165.396999999999,217,12791.115,-9174.493,-3679.1448
1.2060612,13225.841999999999,218,-7722.4854,10130.551,-3557.817
9.922405,17099.697,219,12575.271,10945.829,-3801.4487
9.155202000000001,14329.14,223,14090.1455,1744.885,1935.8243
7.4532504,13384.173999999999,225,12418.817,-1169.3707,4851.973
10.4157915,17223.654,227,-9304.828000000001,98.57729,-14493.61
3.1530101000000004,14783.183,228,7180.9043,11240.363000000001,6374.2725
7.8465962,15986.118999999999,229,-13629.7,7740.146,3142.8347
1.4720535,10621.332,230,-10188.372,908.1227,-2860.9590000000003
9.92912,13481.604,231,-10322.065,-8667.190999999999,297.3206
9.849598,10129.461,232,8345.171,-4937.022,2930.8542
2.7241158,16394.414,233,11632.161,-4777.1494,10518.957
3.7376519999999998,16282.972,235,16006.002,-1084.0021,2787.112
1.3792932,16383.192,236,13272.823999999999,-4290.4854,8592.6045
5.373761,13023.496000000001,237,-8257.671,-7394.135,-6837.331
9.05943,15894.492,238,6669.249,-12950.131000000001,-6360.0396
5.62763,16879.688000000002,240,-7669.7919999999995,-8103.263000000001,12666.305
1.689338,2750.8154,241,1989.6793,-1147.125,1514.0232
5.460926000000001,13635.401000000002,243,-2922.7676,11238.455,7146.9375
6.2590184,13448.591,245,-12652.492,-4090.7014,2011.2671
1.7361444,17028.639,246,-15182.919,7102.22,3001.9949
3.9006199999999995,9984.767,247,-3351.09,-9405.457,56.093844999999995
4.6262946,17510.865,248,-7102.8867,3693.1428,-15573.698999999999
3.6054687999999993,17433.59,251,-8213.814,-8801.77,-12609.208999999999
1.5182273000000002,16484.83,253,-9739.796999999999,1847.3574,13170.925
4.59703,16871.951,254,13900.633,-9017.176,-3182.0894
5.2050304,16419.018,256,3876.5317,15780.402,-2352.7693
3.0888472,17008.361,258,-14053.245,9349.466,2092.4094
2.32415,16988.558999999997,259,9406.95,13701.157,-3521.1775
